cp	max_depth	mb	min_split	ganancia_promedio
-1	4	1	1000	117138000
-1	4	125	1000	118174000
-1	4	250	1000	120437333
-1	4	500	1000	120372000
-1	4	1	800	117138000
-1	4	100	800	119256667
-1	4	200	800	120059333
-1	4	400	800	120372000
-1	4	1	600	117138000
-1	4	75	600	117450667
-1	4	150	600	118715333
-1	4	300	600	120372000
-1	4	1	500	117138000
-1	4	62	500	117282667
-1	4	125	500	118174000
-1	4	250	500	120437333
-1	4	1	400	117138000
-1	4	50	400	117441333
-1	4	100	400	119256667
-1	4	200	400	120059333
-1	4	1	300	117138000
-1	4	37	300	117460000
-1	4	75	300	117450667
-1	4	150	300	118715333
-1	4	1	200	117138000
-1	4	25	200	118099333
-1	4	50	200	117441333
-1	4	100	200	119256667
-1	4	1	100	117138000
-1	4	12	100	117264000
-1	4	25	100	118099333
-1	4	50	100	117441333
-1	4	1	50	117138000
-1	4	6	50	117446000
-1	4	12	50	117264000
-1	4	25	50	118099333
-1	4	1	20	117138000
-1	4	2	20	117124000
-1	4	5	20	117446000
-1	4	10	20	117464667
-1	4	1	10	117138000
-1	4	1	10	117138000
-1	4	2	10	117124000
-1	4	5	10	117446000
-1	6	1	1000	140830667
-1	6	125	1000	149235333
-1	6	250	1000	147182000
-1	6	500	1000	147686000
-1	6	1	800	142837333
-1	6	100	800	152488000
-1	6	200	800	148031333
-1	6	400	800	146519333
-1	6	1	600	141964667
-1	6	75	600	148264667
-1	6	150	600	150560667
-1	6	300	600	146071333
-1	6	1	500	142067333
-1	6	62	500	149044000
-1	6	125	500	151610667
-1	6	250	500	1.47e+08
-1	6	1	400	142328667
-1	6	50	400	148269333
-1	6	100	400	153132000
-1	6	200	400	149548000
-1	6	1	300	142328667
-1	6	37	300	147812000
-1	6	75	300	148838667
-1	6	150	300	150495333
-1	6	1	200	142254000
-1	6	25	200	146486667
-1	6	50	200	149170000
-1	6	100	200	153267333
-1	6	1	100	142254000
-1	6	12	100	145245333
-1	6	25	100	146132000
-1	6	50	100	149179333
-1	6	1	50	142254000
-1	6	6	50	143458000
-1	6	12	50	145236000
-1	6	25	50	146118000
-1	6	1	20	142254000
-1	6	2	20	143962000
-1	6	5	20	143150000
-1	6	10	20	143994667
-1	6	1	10	142090667
-1	6	1	10	142090667
-1	6	2	10	143798667
-1	6	5	10	143192000
-1	8	1	1000	146090000
-1	8	125	1000	151452000
-1	8	250	1000	151816000
-1	8	500	1000	149851333
-1	8	1	800	148031333
-1	8	100	800	153958000
-1	8	200	800	149398667
-1	8	400	800	147084000
-1	8	1	600	148712667
-1	8	75	600	152072667
-1	8	150	600	151340000
-1	8	300	600	147812000
-1	8	1	500	148815333
-1	8	62	500	152222000
-1	8	125	500	152772667
-1	8	250	500	151494000
-1	8	1	400	148638000
-1	8	50	400	150892000
-1	8	100	400	152240667
-1	8	200	400	150738000
-1	8	1	300	148638000
-1	8	37	300	149464000
-1	8	75	300	150411333
-1	8	150	300	149832667
-1	8	1	200	146990667
-1	8	25	200	152810000
-1	8	50	200	151844000
-1	8	100	200	151760000
-1	8	1	100	146864667
-1	8	12	100	151312000
-1	8	25	100	151722667
-1	8	50	100	151279333
-1	8	1	50	147074667
-1	8	6	50	151764667
-1	8	12	50	150607333
-1	8	25	50	153146000
-1	8	1	20	145903333
-1	8	2	20	153099333
-1	8	5	20	149506000
-1	8	10	20	150052000
-1	8	1	10	145208000
-1	8	1	10	145208000
-1	8	2	10	152805333
-1	8	5	10	148712667
-1	10	1	1000	152156667
-1	10	125	1000	148227333
-1	10	250	1000	148778000
-1	10	500	1000	148876000
-1	10	1	800	153911333
-1	10	100	800	149100000
-1	10	200	800	148022000
-1	10	400	800	144200000
-1	10	1	600	154980000
-1	10	75	600	148409333
-1	10	150	600	149445333
-1	10	300	600	147060667
-1	10	1	500	154863333
-1	10	62	500	145595333
-1	10	125	500	148708000
-1	10	250	500	145301333
-1	10	1	400	154513333
-1	10	50	400	142104667
-1	10	100	400	143626000
-1	10	200	400	148927333
-1	10	1	300	152828667
-1	10	37	300	140116667
-1	10	75	300	139407333
-1	10	150	300	144256000
-1	10	1	200	150990000
-1	10	25	200	144265333
-1	10	50	200	140639333
-1	10	100	200	140368667
-1	10	1	100	150000667
-1	10	12	100	146421333
-1	10	25	100	142683333
-1	10	50	100	138082000
-1	10	1	50	150192000
-1	10	6	50	146234667
-1	10	12	50	144466000
-1	10	25	50	143322667
-1	10	1	20	148003333
-1	10	2	20	145782000
-1	10	5	20	149734667
-1	10	10	20	141829333
-1	10	1	10	142296000
-1	10	1	10	142296000
-1	10	2	10	140154000
-1	10	5	10	145301333
-1	12	1	1000	153874000
-1	12	125	1000	147639333
-1	12	250	1000	145931333
-1	12	500	1000	148787333
-1	12	1	800	155712667
-1	12	100	800	146836667
-1	12	200	800	149814000
-1	12	400	800	142305333
-1	12	1	600	156571333
-1	12	75	600	142720667
-1	12	150	600	146799333
-1	12	300	600	144386667
-1	12	1	500	156762667
-1	12	62	500	140980000
-1	12	125	500	144554667
-1	12	250	500	141339333
-1	12	1	400	156898000
-1	12	50	400	139594000
-1	12	100	400	135697333
-1	12	200	400	146062000
-1	12	1	300	153976667
-1	12	37	300	131362000
-1	12	75	300	128725333
-1	12	150	300	132365333
-1	12	1	200	152707333
-1	12	25	200	130918667
-1	12	50	200	133303333
-1	12	100	200	134316000
-1	12	1	100	152338667
-1	12	12	100	137060000
-1	12	25	100	129486000
-1	12	50	100	128949333
-1	12	1	50	152254667
-1	12	6	50	135646000
-1	12	12	50	1.33e+08
-1	12	25	50	129098667
-1	12	1	20	146020000
-1	12	2	20	137601333
-1	12	5	20	131511333
-1	12	10	20	127451333
-1	12	1	10	137582667
-1	12	1	10	137582667
-1	12	2	10	129070667
-1	12	5	10	123806667
-1	14	1	1000	146505333
-1	14	125	1000	147121333
-1	14	250	1000	144886000
-1	14	500	1000	148787333
-1	14	1	800	148320667
-1	14	100	800	144638667
-1	14	200	800	149193333
-1	14	400	800	142650667
-1	14	1	600	148759333
-1	14	75	600	136700667
-1	14	150	600	145856667
-1	14	300	600	144106667
-1	14	1	500	148180667
-1	14	62	500	135296000
-1	14	125	500	141470000
-1	14	250	500	139650000
-1	14	1	400	147882000
-1	14	50	400	127404667
-1	14	100	400	132276667
-1	14	200	400	142408000
-1	14	1	300	145240667
-1	14	37	300	121403333
-1	14	75	300	121132667
-1	14	150	300	129663333
-1	14	1	200	145492667
-1	14	25	200	120082667
-1	14	50	200	122276000
-1	14	100	200	127190000
-1	14	1	100	142814000
-1	14	12	100	124282667
-1	14	25	100	114837333
-1	14	50	100	114907333
-1	14	1	50	141404667
-1	14	6	50	122822000
-1	14	12	50	117133333
-1	14	25	50	110460000
-1	14	1	20	132388667
-1	14	2	20	121151333
-1	14	5	20	112261333
-1	14	10	20	108103333
-1	14	1	10	121912000
-1	14	1	10	121912000
-1	14	2	10	110245333
-1	14	5	10	102998000
