fecha	cp	minsplit	minbucket	maxdepth	corte	xval_repeats	xval_folds	ganancia	iteracion
20230906 172225	-0.318572298059007	3395	1160	14	12645	10	5	62937000	1
20230906 172505	-0.494679584933911	3626	1636	12	12291	10	5	60858000	2
20230906 172830	-0.66302834756556	7891	55	17	7093	10	5	51051000	3
20230906 173047	-0.422177777683828	7035	533	7	11449	10	5	50526000	4
20230906 173319	-0.839733447105391	6246	1853	13	9854	10	5	55363000	5
20230906 173459	-0.935633647425566	5412	973	4	5281	10	5	54516000	6
20230906 173745	-0.366872349972837	7209	728	20	13740	10	5	50904000	7
20230906 173912	0.00303789829602485	5158	356	3	14001	10	5	-79996000	8
20230906 174152	-0.0797495363939863	6760	1633	16	10169	10	5	52934000	9
20230906 174439	-0.300635183457052	4034	1756	14	7649	10	5	60326000	10
20230906 174822	-0.221810202473231	7798	7	19	13788	10	5	48958000	11
20230906 174952	-0.46783441650526	4897	1219	3	12746	10	5	56273000	12
20230906 175303	-0.884528216878728	2567	567	20	8450	10	5	73094000	13
20230906 175519	-0.920797898859018	5999	2535	8	6316	10	5	56987000	14
20230906 175703	0.0816252810220857	7813	3536	8	11380	10	5	-65996000	15
20230906 175904	-0.60860312912846	5592	1665	4	11713	10	5	57155000	16
20230906 180227	-0.695068805940294	5188	1035	14	9910	10	5	63378000	17
20230906 180703	-0.372582870690773	759	269	20	14735	10	5	62811000	18
20230906 180953	-0.713710592780262	7052	2957	20	9773	10	5	52787000	19
20230906 181240	-0.860735807591118	6245	2974	17	8132	10	5	57078000	20
20230906 181806	-0.74948942860623	50	23	18	9909	10	5	43526000	21
20230906 182127	-0.999813119659664	3893	999	20	5538	10	5	62328000	22
20230906 182445	-0.158974072767043	2418	1204	20	9215	10	5	67599000	23
20230906 182723	-0.922842724103172	3691	800	20	14994	10	5	57715000	24
20230906 183005	-0.40471870250854	2950	769	17	9556	10	5	70427000	25
20230906 183234	-0.848549136405663	3509	1280	20	5032	10	5	59654000	26
20230906 183551	-0.91418899667783	4868	82	20	8881	10	5	64680000	27
20230906 183826	-0.935484621653865	2384	1179	20	8987	10	5	67697000	28
20230906 184110	-0.912155655099383	2693	455	15	7269	10	5	71862000	29
20230906 184331	-0.118582138643792	6584	845	20	5004	10	5	53193000	30
20230906 184535	-0.879120418925685	2556	454	8	8144	10	5	73241000	31
20230906 184723	-0.558019420131126	2622	483	6	7372	10	5	72198000	32
20230906 184925	-0.69502616663029	3487	594	8	7337	10	5	65695000	33
20230906 185039	-0.545463795104922	2094	5	3	9683	10	5	59493000	34
20230906 185249	-0.999996318487852	2419	575	9	7796	10	5	72331000	35
20230906 185433	-0.497783832546757	2551	1210	6	7837	10	5	67123000	36
20230906 185702	-0.544673231973168	4235	601	14	8134	10	5	65387000	37
