fecha	cp	minsplit	minbucket	maxdepth	xval_repeats	xval_folds	ganancia	iteracion
20230906 175746	-0.118140014338132	5731	1986	8	10	5	53127900	1
20230906 180044	-0.0225404136974248	6886	948	19	10	5	52637200	2
20230906 180357	-0.850460878486047	4913	280	10	10	5	56949200	3
20230906 180842	-0.312912342957861	4250	15	17	10	5	55532400	4
20230906 181028	0.0657479290253833	7553	2770	15	10	5	0	5
20230906 181205	-0.0950151600787649	3424	515	3	10	5	54061000	6
20230906 181358	-0.925980163141503	7406	1432	4	10	5	51540300	7
20230906 181713	-0.505812269172424	5807	829	13	10	5	55604500	8
20230906 182007	-0.382344335115825	7292	1122	11	10	5	51989000	9
20230906 182232	-0.221437758269409	6593	3184	7	10	5	52514700	10
20230906 182505	-0.953415857465006	4662	1679	10	10	5	55790700	11
20230906 182706	-0.991582404547371	7157	2583	13	10	5	52134600	12
20230906 182920	-0.419549136995338	4958	1375	19	10	5	56554400	13
20230906 183119	-0.682578317793086	4376	93	7	10	5	59413200	14
20230906 183338	-0.234311994083691	2553	1132	18	10	5	62560400	15
20230906 183516	-0.417355578765273	4580	1081	5	10	5	59726100	16
20230906 183925	-0.200231475125944	506	2	19	10	5	52619700	17
20230906 184157	-0.679652221692075	1826	913	18	10	5	62645800	18
20230906 184341	-0.99958320205053	6245	3120	6	10	5	53330200	19
20230906 184613	-0.382386619923745	1737	868	17	10	5	62826400	20
20230906 184823	-0.310271633533973	1622	810	8	10	5	63968800	21
20230906 185041	-0.999614528920018	2321	1145	16	10	5	62437900	22
20230906 185235	-0.284056944344059	2591	1293	7	10	5	61637100	23
20230906 185445	-0.369557560162088	5	2	8	10	5	65238600	24
20230906 185729	-0.983396954727282	679	339	13	10	5	63121100	25
20230906 190021	-0.535517571159746	180	87	12	10	5	47884200	26
20230906 190254	-0.998556496688674	1531	760	17	10	5	64137500	27
20230906 190444	-0.0285668071696485	14	2	6	10	5	62836900	28
20230906 190732	-0.999849405318196	4931	9	13	10	5	53578700	29
20230906 190947	-0.998866312472473	767	383	8	10	5	66231900	30
20230906 191149	-0.382295663741686	494	247	6	10	5	68782700	31
20230906 191335	-0.871122334132809	6	1	5	10	5	54982200	32
20230906 191534	-0.36649405241402	757	371	7	10	5	69373500	33
20230906 191730	-0.281179379742025	3180	268	7	10	5	66530100	34
20230906 191915	-0.341714844062979	8000	388	6	10	5	51265900	35
20230906 192031	-0.401821402666191	4827	2412	3	10	5	52992100	36
20230906 192231	-0.442577813643424	593	293	7	10	5	67209100	37
20230906 192432	-0.277595156681741	546	269	7	10	5	66135300	38
20230906 192629	-0.376696748906176	2185	387	7	10	5	71050700	39
20230906 192819	-0.625482455131944	7998	3998	7	10	5	51537500	40
20230906 193014	-0.999833291972368	2350	778	7	10	5	64796200	41
20230906 193157	-0.372831474467411	2078	17	6	10	5	67458300	42
20230906 193411	-0.9336702246595	7999	832	20	10	5	51419900	43
20230906 193600	-0.395480889338882	2254	474	6	10	5	70785400	44
20230906 193826	-0.319057141470023	3137	714	20	10	5	64950900	45
20230906 193942	-0.732719579644494	2615	914	3	10	5	53984000	46
20230906 194131	-0.999991197498802	7989	3987	20	10	5	51510900	47
20230906 194328	-0.390544923492001	2497	468	7	10	5	69764100	48
20230906 194445	0.0990629242487012	2119	369	9	10	5	0	49
20230906 194604	-0.376793430183435	2070	737	3	10	5	54420800	50
20230906 194751	-0.410466911093604	2002	340	6	10	5	70357000	51
20230906 194949	-0.139633116910854	1002	2	7	10	5	65986900	52
20230906 195156	-0.231789076089612	2159	2	8	10	5	67116700	53
20230906 195402	-0.682940303725199	1871	930	8	10	5	62832000	54
20230906 195604	-0.735493531351086	4775	2379	15	10	5	55581400	55
20230906 195818	-0.175564000031468	7993	618	20	10	5	51382800	56
20230906 195953	-0.157396071404111	1509	1	5	10	5	54959800	57
20230906 200138	-0.515981549007184	2513	1255	6	10	5	62604500	58
20230906 200354	-0.0937149765942922	19	2	9	10	5	65252600	59
20230906 200753	-0.823195215043166	13	3	19	10	5	24912300	60
20230906 200946	-0.637960199961353	7993	2239	20	10	5	51205000	61
20230906 201134	-0.40254444075396	1633	814	6	10	5	64603700	62
20230906 201331	-0.0870534246547322	2284	377	7	10	5	70626500	63
20230906 201515	-0.471527876210351	3069	403	6	10	5	67594800	64
20230906 201748	-0.0890383857195178	3117	486	20	10	5	66600100	65
20230906 202011	-0.242206384239288	2234	469	10	10	5	70158900	66
20230906 202224	-0.670841291373415	6278	1080	14	10	5	53200700	67
20230906 202411	-0.60975648696625	2174	425	6	10	5	71239000	68
20230906 202626	-0.60140893926266	2724	1362	20	10	5	60692100	69
20230906 202833	-0.125331465066672	2303	414	8	10	5	69869800	70
20230906 203023	-0.936217319942438	2062	364	6	10	5	70885500	71
20230906 203215	-0.652536808933746	2169	422	6	10	5	71259300	72
20230906 203440	-0.954060623283624	2028	411	10	10	5	69085800	73
20230906 203634	-0.0853106289387295	4758	319	7	10	5	58564100	74
20230906 203829	-0.327011027724381	7994	3997	20	10	5	51537500	75
20230906 204040	-0.0866390875954557	797	391	7	10	5	68920600	76
20230906 204318	-0.308773353892799	2246	457	13	10	5	70141400	77
20230906 204545	-0.330326044964241	2203	390	11	10	5	69953100	78
20230906 204744	-0.100135704982981	5739	2869	20	10	5	53625600	79
20230906 204941	-0.911174638147504	2058	463	7	10	5	70744100	80
