fecha	minsplit	minbucket	maxdepth	corte	cp	ganancia	iteracion
20230909 162322	1145	275	8	9015	-1	40.66967	1
20230909 162441	1394	445	8	8844	-1	46.05963	2
20230909 162602	903	313	6	8723	-1	39.22302	3
20230909 162708	739	253	7	9720	-1	41.64967	4
20230909 162825	1462	233	10	8022	-1	49.2796	5
20230909 162936	1224	396	7	9846	-1	36.56304	6
20230909 163114	934	209	12	8275	-1	51.65958	7
20230909 163213	1045	472	12	8166	-1	43.67965	8
20230909 163410	1358	619	6	8559	-1	39.24635	9
20230909 163600	1421	355	9	8832	-1	46.38629	10
20230909 163728	821	301	10	9618	-1	43.00299	11
20230909 163905	1024	440	6	8145	-1	38.17303	12
20230909 164005	1245	257	11	9428	-1	46.1763	13
20230909 164119	1234	510	6	9108	-1	40.92634	14
20230909 164226	911	309	9	9815	-1	44.86964	15
20230909 164337	1333	566	7	8292	-1	45.3363	16
20230909 164501	1487	200	12	8000	-1	51.40292	17
20230909 164723	1200	228	12	8001	-1	50.74959	18
20230909 164847	1166	200	12	8963	-1	52.14958	19
20230909 165001	905	200	12	10000	-1	47.80962	20
