fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	feature_fraction	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	num_leaves	min_data_in_leaf	estimulos	Validation	Public	ganancia	iteracion_bayesiana
20231015 220052	1066	310849	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1760	0.8	1	1	1	FALSE	1	0.1	50	0.5	TRUE	221729	0.0494184104896461	41	12149	11000	85.58	157.57	243.15	1
20231015 220556	1066	310849	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	601	0.8	1	1	1	FALSE	1	0.1	50	0.5	TRUE	221729	0.0619195674126968	72	8382	11000	85.64	168.63	254.27	2
20231015 220942	1066	310849	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	848	0.8	1	1	1	FALSE	1	0.1	50	0.5	TRUE	221729	0.0591263290851687	56	14229	11000	84.6	167.2	251.8	3
20231015 221447	1066	310849	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	442	0.8	1	1	1	FALSE	1	0.1	50	0.5	TRUE	221729	0.0790212910141175	61	3410	11000	85.7	157.85	243.55	4
20231015 222003	1066	310849	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1038	0.8	1	1	1	FALSE	1	0.1	50	0.5	TRUE	221729	0.033723388267681	99	5545	11000	85.28	165.9	251.18	5
20231015 222419	1066	310849	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1089	0.8	1	1	1	FALSE	1	0.1	50	0.5	TRUE	221729	0.0681222555413842	32	11710	11000	86.3	158.27	244.57	6
20231015 222831	1066	310849	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1414	0.8	1	1	1	FALSE	1	0.1	50	0.5	TRUE	221729	0.0317840282355125	6	10114	11000	82.23	160.23	242.46	7
20231015 223235	1066	310849	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1321	0.8	1	1	1	FALSE	1	0.1	50	0.5	TRUE	221729	0.0416871341861164	20	1217	11000	86.58	163.38	249.96	8
20231015 223754	1066	310849	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1860	0.8	1	1	1	FALSE	1	0.1	50	0.5	TRUE	221729	0.0822224295775716	81	18972	11000	85.79	152.81	238.6	9
20231015 224126	1066	310849	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	895	0.8	1	1	1	FALSE	1	0.1	50	0.5	TRUE	221729	0.0893783060678591	12	17185	11000	85.63	161.49	247.12	10
